filename F1 cer adv_F1 adv_cer nsr aer
Emma-snips-test-82 1.0 0.0 0.8 0.5416666666666666 0.009895607829093933 0.8451000452041626
Emma-snips-test-446 1.0 0.0 0.0 1.0 0.009549752809107304 0.8055613040924072
Brian-snips-test-482 1.0 0.0 0.6666666666666666 1.096774193548387 0.008492565713822842 0.8140066266059875
Emma-snips-test-674 1.0 0.0 0.0 1.0 0.008334478363394737 0.8414474129676819
Raveena-snips-test-674 1.0 0.0 0.0 1.0 0.008437913842499256 0.9216861724853516
Brian-snips-test-456 1.0 0.0 0.5714285714285715 0.6666666666666666 0.009102636948227882 0.7679742574691772
Russell-snips-test-683 1.0 0.0 0.0 1.0 0.008812765590846539 0.7598968744277954
Emma-snips-test-492 1.0 0.0 0.33333333333333337 0.875 0.010726112872362137 0.8328282237052917
Emma-snips-test-53 1.0 0.0 0.0 1.0 0.009681197814643383 0.8095021843910217
Emma-snips-test-207 1.0 0.0 0.6666666666666666 1.375 0.007884716615080833 0.9136883020401001
Raveena-snips-test-207 1.0 0.0 0.0 1.0 0.00922832265496254 1.0291457176208496
Russell-snips-test-79 1.0 0.0 1.0 0.05405405405405406 0.009465103968977928 0.6165145039558411
Emma-snips-test-629 1.0 0.0 0.0 1.0 0.008131228387355804 0.8217616677284241
Russell-snips-test-646 1.0 0.0 0.6666666666666666 0.5588235294117647 0.008483371697366238 0.7607632279396057
Emma-snips-test-96 1.0 0.0 1.0 0.3684210526315789 0.008665930479764938 0.7642748951911926
Brian-snips-test-538 1.0 0.0 1.0 0.03571428571428571 0.00944281741976738 0.7404849529266357
Russell-snips-test-437 1.0 0.0 1.0 0.047619047619047616 0.009681652300059795 0.6941574811935425
Emma-snips-test-33 1.0 0.0 0.5 0.29411764705882354 0.01009404007345438 0.8119580149650574
Russell-snips-test-1 1.0 0.0 1.0 0.21052631578947367 0.00930534303188324 0.7090381979942322
Emma-snips-test-140 1.0 0.0 0.5 0.5454545454545454 0.01055921707302332 0.7916210293769836
Russell-snips-test-585 1.0 0.0 1.0 0.09523809523809523 0.009083965793251991 0.6932738423347473
Brian-snips-test-432 1.0 0.0 0.4 0.8421052631578947 0.011110970750451088 0.9132077097892761
Emma-snips-test-176 1.0 0.0 0.0 1.0 0.009254951030015945 0.9312189817428589
Raveena-snips-test-541 1.0 0.0 0.0 1.0 0.009027106687426567 0.8745227456092834
Emma-snips-test-432 1.0 0.0 0.0 1.0 0.00950038805603981 0.8813308477401733
Emma-snips-test-541 1.0 0.0 0.0 1.0 0.008935078047215939 0.8795080780982971
Emma-snips-test-200 1.0 0.0 0.0 1.0 0.007885164581239223 1.0141677856445312
Emma-snips-test-382 1.0 0.0 0.0 1.0 0.00838256161659956 0.8557437658309937
Emma-snips-test-110 1.0 0.0 0.0 1.0 0.009435966610908508 0.9203382730484009
Russell-snips-test-89 1.0 0.0 1.0 0.25 0.009501701220870018 0.6946001052856445
Emma-snips-test-522 1.0 0.0 1.0 0.35 0.00829697772860527 0.920503556728363
Emma-snips-test-27 1.0 0.0 0.5 2.2 0.010212383233010769 0.8327667713165283
Brian-snips-test-250 1.0 0.0 1.0 0.14285714285714285 0.008761306293308735 0.9207172989845276
Brian-snips-test-27 1.0 0.0 1.0 0.2 0.010523492470383644 0.7300918102264404
Russell-snips-test-358 1.0 0.0 1.0 0.0 0.009568838402628899 0.6418027877807617
Brian-snips-test-249 1.0 0.0 0.0 1.0 0.010550101287662983 0.7432512640953064
Brian-snips-test-652 1.0 0.0 0.0 1.0 0.009577234275639057 0.7535933256149292
Brian-snips-test-99 1.0 0.0 0.6666666666666666 0.3125 0.01023030560463667 0.7518528699874878
Raveena-snips-test-522 1.0 0.0 0.0 1.0 0.011222771368920803 1.0114829540252686
Raveena-snips-test-202 1.0 0.0 0.0 1.0 0.009257198311388493 0.9503294825553894
Emma-snips-test-51 1.0 0.0 0.6666666666666666 0.42857142857142855 0.00994667038321495 0.7907624244689941
Raveena-snips-test-51 1.0 0.0 0.4 0.35714285714285715 0.01101511251181364 0.9051509499549866
Brian-snips-test-202 1.0 0.0 1.0 0.875 0.009547208435833454 0.9206987619400024
Russell-snips-test-421 1.0 0.0 0.8571428571428571 0.5263157894736842 0.01066536083817482 0.767642080783844
Brian-snips-test-421 1.0 0.0 0.0 1.0 0.010669953189790249 0.8298116326332092
Russell-snips-test-323 1.0 0.0 1.0 0.0 0.009398424066603184 0.9016461372375488
Raveena-snips-test-323 1.0 0.0 0.0 1.0 0.008469145745038986 0.9246469140052795
Brian-snips-test-509 1.0 0.0 0.6666666666666666 0.5882352941176471 0.01042435597628355 0.906719446182251
Emma-snips-test-509 1.0 0.0 0.0 1.0 0.00939114484935999 0.823612630367279
Emma-snips-test-657 1.0 0.0 0.0 1.0 0.008049413561820984 0.9240870475769043
Russell-snips-test-560 1.0 0.0 1.0 0.21739130434782608 0.009048804640769958 0.7198020815849304
Raveena-snips-test-509 1.0 0.0 0.0 1.0 0.010452468879520893 0.8092732429504395
Russell-snips-test-411 1.0 0.0 1.0 0.06666666666666667 0.010053656063973904 0.7954269051551819
Emma-snips-test-417 1.0 0.0 0.0 1.0 0.008345616050064564 0.8733779788017273
Emma-snips-test-503 1.0 0.0 0.0 1.0 0.009627684950828552 0.9147056937217712
Brian-snips-test-473 1.0 0.0 0.4 0.7857142857142857 0.00997864082455635 0.8586958050727844
Emma-snips-test-467 1.0 0.0 0.0 1.0 0.008235405199229717 0.9288103580474854
