filename acc der adv_acc adv_der nsr aer
672-122797-0070_3570-5695-0006 0.9785809906291834 0.02459016393442623 0.9196787148594378 0.09836065573770492 0.020125344395637512 0.9199626445770264
61-70970-0039_5105-28233-0001 0.9714714714714715 0.036290322580645164 0.9557057057057057 0.059475806451612906 0.022271279245615005 0.3792797923088074
6930-76324-0025_4970-29095-0038 0.9811212814645309 0.0283363802559415 0.7070938215102975 0.4680073126142596 0.02340564876794815 0.8183218240737915
672-122797-0018_8230-279154-0041 0.9789156626506024 0.03394396551724138 0.6720214190093708 0.5145474137931034 0.02141806297004223 0.6832737922668457
1089-134686-0023_6829-68771-0020 0.9837980406932931 0.02577937649880096 0.6563677467972872 0.5467625899280576 0.024910876527428627 0.9135900735855103
4446-2273-0025_1284-1181-0010 0.9743390357698289 0.030693069306930693 0.8973561430793157 0.12871287128712872 0.012950736097991467 0.5466435551643372
7176-88083-0017_4446-2271-0004 0.9758534554537885 0.03924221921515562 0.6598667776852623 0.5527740189445196 0.026510868221521378 0.8391164541244507
121-127105-0005_4507-16021-0046 0.9802405498281787 0.024572649572649572 0.9664948453608248 0.041666666666666664 0.014833962544798851 0.6791256070137024
2830-3980-0047_3729-6852-0022 0.9795427196149218 0.02426837972876517 0.907942238267148 0.10920770877944326 0.02151893451809883 0.7636904120445251
2300-131720-0007_8224-274384-0007 0.9802827380952381 0.031660692951015534 0.6417410714285714 0.5752688172043011 0.0208454392850399 1.0465642213821411
4992-23283-0011_2830-3980-0005 0.9875968992248062 0.016931216931216932 0.7728682170542636 0.3100529100529101 0.016761841252446175 0.866493284702301
1089-134686-0011_1320-122612-0004 0.9847266881028939 0.022183304144775248 0.7520096463022508 0.3508464681844717 0.019410008564591408 0.9069233536720276
6829-68771-0004_2961-961-0000 0.9922985781990521 0.011514614703277236 0.7624407582938388 0.35518157661647476 0.017034178599715233 0.6849949359893799
1580-141083-0041_3729-6852-0028 0.9752851711026616 0.03616133518776078 0.844106463878327 0.22809457579972184 0.01761428266763687 0.6568139791488647
4992-41806-0007_7176-88083-0013 0.9776666666666667 0.026886035313001606 0.8596666666666667 0.1689406099518459 0.014362157322466373 0.7743461728096008
7021-85628-0022_2300-131720-0009 0.9708333333333333 0.04066811909949165 0.8015625 0.2766884531590414 0.02480994164943695 1.0447481870651245
237-134500-0011_7176-92135-0000 0.9871883656509696 0.02171361502347418 0.5945290858725761 0.6789906103286385 0.021937137469649315 0.7983925938606262
4077-13754-0014_8555-284449-0006 0.9758432087511395 0.038941954445260836 0.6417502278942571 0.5510653930933137 0.018890956416726112 0.7045397758483887
3729-6852-0023_1089-134686-0032 0.9773838630806846 0.025974025974025976 0.7396088019559902 0.3942486085343228 0.021845711395144463 1.1797608137130737
1580-141084-0031_61-70970-0023 0.9938176197836167 0.008879023307436182 0.8168469860896446 0.23085460599334073 0.018592212349176407 0.6097339987754822
1284-134647-0004_8230-279154-0021 0.9785658612626656 0.03033645890788748 0.6917381137957911 0.4351902923331495 0.02410353161394596 0.7481337189674377
4446-2271-0021_7021-79740-0003 0.9738955823293173 0.03296703296703297 0.8343373493975904 0.22664835164835165 0.015206621028482914 0.8963698148727417
237-126133-0004_8230-279154-0035 0.9728476821192052 0.043248945147679324 0.7284768211920529 0.39767932489451474 0.01861991547048092 0.8907682299613953
4446-2275-0012_1284-1180-0029 0.9725913621262459 0.03254437869822485 0.9443521594684385 0.0650887573964497 0.01920449733734131 0.597826361656189
1995-1826-0021_7176-92135-0008 0.9706397896581945 0.044058744993324434 0.7712532865907099 0.32710280373831774 0.016452612355351448 0.6601335406303406
1580-141084-0042_6930-75918-0010 0.9812252964426877 0.028189910979228485 0.8142292490118577 0.27002967359050445 0.029553761705756187 0.6558862328529358
6829-68771-0013_6930-76324-0005 0.9902642559109874 0.012844036697247707 0.952712100139082 0.062385321100917435 0.015538356266915798 0.5142894387245178
672-122797-0032_3570-5696-0005 0.9746543778801844 0.04094292803970223 0.6804915514592934 0.5161290322580645 0.02393110655248165 0.7358502149581909
3729-6852-0013_1284-1180-0001 0.9819354838709677 0.02962962962962963 0.7238709677419355 0.45291005291005293 0.020772717893123627 0.8720064163208008
5142-36377-0006_1995-1837-0022 0.9751619870410367 0.03095558546433378 0.8596112311015118 0.17496635262449528 0.019047865644097328 0.6762754321098328
5683-32879-0004_5105-28240-0022 0.9701159678858162 0.0467877094972067 0.7314897413024085 0.420391061452514 0.0327589251101017 0.7077792882919312
2830-3980-0012_5105-28233-0010 0.9746136865342163 0.04659014179608373 0.6026490066225165 0.7292370020256583 0.027321074157953262 0.759858250617981
4446-2271-0001_1221-135767-0001 0.9854802680565897 0.0212998361551065 0.6999255398361877 0.4068814855270344 0.017434274777770042 0.5912661552429199
6829-68771-0008_7127-75947-0033 0.9706546275395034 0.035515320334261836 0.881489841986456 0.14623955431754876 0.022452298551797867 0.7869336009025574
1089-134691-0017_5142-36586-0004 0.9751924721984602 0.0444104134762634 0.6056458511548332 0.7059724349157733 0.02006646618247032 0.8192211985588074
8230-279154-0016_1580-141083-0030 0.9787735849056604 0.03523884103367267 0.7405660377358491 0.4306969459671104 0.0236491821706295 0.7926618456840515
8463-294828-0009_5142-33396-0025 0.988009592326139 0.015503875968992248 0.907673860911271 0.11937984496124031 0.0182819701731205 0.6877273321151733
2300-131720-0038_6829-68771-0000 0.9759579263711495 0.03663423010875787 0.6867017280240421 0.477389811104751 0.01708776317536831 0.7545571327209473
61-70970-0040_7729-102255-0019 0.9703247480403135 0.04330065359477124 0.7211646136618141 0.4027777777777778 0.0159190371632576 0.7744888663291931
